Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
"Scientist, Bioinformatics, Hsu and Konermann Labs",Arc Institute,https://boards.greenhouse.io/arcinstitute/jobs/5127626004,San Francisco Bay Area.USA,2024-03-14,1/1/2050,D. Career development: Technical,"""The Arc Institute is seeking a Bioinformatician to join the Hsu and Konermann Labs. The successful candidate will play a crucial role in advancing the state-of-the-art in bioinformatics and contributing to major initiatives at the institute. In this position, you will: Analyze NGS and genomic datasets, including metagenomic sequences, amplicon sequencing, RNA-seq, scRNAseq, and Perturb-seq, to generate new biological discoveries and insights; Contribute directly to ongoing academic projects in the lab in the fields of microbiology, genome [...]""",Doctoral degree,Multiple experience levels,"Research, Data",https://arcinstitute.org/,https://arcinstitute.org/jobs,https://80000hours.org/wp-content/uploads/2023/09/arc_institute_logo.jpeg,"Base: $124,000 - $148,000"
Senior Product Manager,Ark Biotech,https://jobs.lever.co/arkbiotech/71d41671-cf79-4ead-b3c4-1297e309c2c9,Boston metro area.USA,2024-04-08,1/1/2050,B. Animal welfare,,Undergraduate degree or less,Mid (5-9 years experience),Operations,https://www.ark-biotech.com/,https://www.ark-biotech.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Ark-Biotech.jpeg,Not Found
"Internship, Nuclear Policy Research (Summer 2024)",Arms Control Association,https://www.armscontrol.org/internships,"""Washington, DC metro area.USA""",2024-03-25,15/4/2024,3. Nuclear security,"""- The internship starts on May 28, 2024, and concludes on August 23, 2024.
- It is a part-time for up to 20 hours weekly.
- Tasks include researching policy developments and assisting at the ACA Annual Meeting.
- The intern will edit and upload content for the ACA website.""",Undergraduate degree or less,Entry-level,"Policy, Research",https://www.armscontrol.org/,https://www.armscontrol.org/employment,https://80000hours.org/wp-content/uploads/2023/11/arms_control_association_logo.jpeg,$20 per hour
ACONA Fellowship,Arms Control Negotiation Academy,https://www.armscontrolnegotiationacademy.org/apply,"Remote.Global,Reykjavík.Iceland",2024-03-22,10/5/2024,3. Nuclear security,"""ACONA Fellows partake in three week-long workshops (“boot camps”) as well as a conference to attend expert lectures, participate in immersive negotiation exercises, and engage in small group discussions with distinguished scholars and practitioners. ACONA Fellows are required to participate in all boot camps and the conference, actively engage in discussions, collaborate with a small group of fellows on an international research project, and submit the results of that project by the end of their 12-month fellowship. The fellowship covers [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Policy, Other",https://www.armscontrolnegotiationacademy.org/,https://www.armscontrolnegotiationacademy.org/apply,https://80000hours.org/wp-content/uploads/2024/03/arms_control_negotiation_academy_acona_logo.jpeg,Unpaid
Fellow,ARPA-E,https://arpa-e.energy.gov/career/job-opportunities#op-589327-fellow,"""Washington, DC metro area.USA""",2024-01-15,1/1/2050,Z. Climate change,"""Fellows conduct independent research and analysis into technological whitespaces, contribute to new program development, and engage with innovators in a variety of fields, including academia, industry, start-ups, and government. Fellows play a vital role in furthering ARPA-E’s mission of developing transformational energy technologies. Responsibilities: Identify technological white spaces and conduct independent technoeconomic research and analysis; Communicate findings internally at ARPA-E as well as at external meetings and conferences; [...]""",Doctoral degree,Junior (1-4 years experience),Research,https://arpa-e.energy.gov/,https://arpa-e.energy.gov/career,https://80000hours.org/wp-content/uploads/2023/09/Arpa-E.jpeg,Not Found
"Technology-to-Market Advisor, Government Partnership",ARPA-E,https://arpa-e.energy.gov/career/job-opportunities#op-599623-technologytomarket-advisor-government-partnership,"""Washington, DC metro area.USA""",2023-11-02,1/1/2050,Z. Climate change,"""The candidate will orchestrate connections between ARPA-E and other government agencies. This involves understanding those agencies’ energy technology needs and looking for matches between our programs and their technology interests. The candidate will outreach to other agencies on behalf of our programs across their lifecycle – soliciting other agencies’ input when programs are being formed, their help in evaluating proposals, and their attendance at our program reviews so they become familiar with ARPA-E technology and performers. The [...]""",Master's degree,"Mid (5-9 years experience),Senior (10+ years experience)",Policy,https://arpa-e.energy.gov/,https://arpa-e.energy.gov/career,https://80000hours.org/wp-content/uploads/2023/09/Arpa-E.jpeg,Not Found
Internships (Spring 2024),Asia Society Policy Institute,https://asiasociety.org/policy-institute/asia-society-policy-institute-spring-internship-new-york,"""New York, NY.USA""",2024-02-12,1/1/2050,6. Early career policy,"""The Asia Society Policy Institute (ASPI) is seeking exceptional interns with a demonstrated interest in the social, political, and economic challenges in Asia. Each successful intern candidate would be assigned to one of the following research areas with an advisor during the course of the internship: Security: The rise of emerging powers in Asia, the strategic implications of their growing economic, political, and military power, and the potential impact on their relations with the United States and regional neighbors. The Belt and Road [...]""",Undergraduate degree or less,Entry-level,Policy,https://asiasociety.org/policy-institute,https://asiasociety.org/policy-institute/careers,https://80000hours.org/wp-content/uploads/2019/07/Asia-Society-Policy-Institute.jpg,$16 per hour
"Operations and Program Coordinator, Washington, D.C.",Asia Society Policy Institute,https://asiasociety.org/policy-institute/operations-and-program-coordinator-washington-dc,"""Washington, DC metro area.USA""",2024-03-05,1/1/2050,6. Early career policy,"""ASPI seeks an Operations and Program Coordinator for its Washington, D.C. office to provide logistical and coordination support for ASPI policy initiatives and operations, coordinate aspects of and contribute to ASPI’s content and project development, coordinate policy-related events for ASPI, and provide administrative support. Responsibilities: Manage the calendar and travel of the Vice President/head of the Washington Office; Prepare and reconcile the monthly expenses of the VP/head of the Washington Office; Manage functions related to [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations",https://asiasociety.org/policy-institute,https://asiasociety.org/policy-institute/careers,https://80000hours.org/wp-content/uploads/2019/07/Asia-Society-Policy-Institute.jpg,"$55,000 - $60,000"
"Research Associate, Chinese Politics",Asia Society Policy Institute,https://asiasociety.org/policy-institute/research-associate-chinese-politics,Remote.USA,2024-03-27,1/1/2050,6. Early career policy,"""Responsibilities: The Research Associate will: Provide expert research and analysis on elite politics and policy developments in China, primarily using Chinese language sources; Collect and analyze data on Chinese elite politics, political institutions, and policy activity for CCA’s flagship “Decoding Chinese Politics” product; Develop promotional content and strategies to expand the reach of Decoding Chinese Politics and other projects related to the Chinese Politics pillar; Monitor, collect, and analyze Chinese language reports on politics, [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Research, Policy",https://asiasociety.org/policy-institute,https://asiasociety.org/policy-institute/careers,https://80000hours.org/wp-content/uploads/2019/07/Asia-Society-Policy-Institute.jpg,"$50,000 - $55,000"
Summer Internship,Asia Society Policy Institute,https://asiasociety.org/policy-institute/asia-society-policy-institute-summer-internship-washington-dc,"""Washington, DC metro area.USA""",2024-04-01,1/1/2050,6. Early career policy,,Undergraduate degree or less,Entry-level,"Policy, Research",https://asiasociety.org/policy-institute,https://asiasociety.org/policy-institute/careers,https://80000hours.org/wp-content/uploads/2019/07/Asia-Society-Policy-Institute.jpg,$17 per hour
"Intern, Communications, Tech Policy Hub",Aspen Institute,http://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=2945098&req_loc=1353&&#job,"""Washington, DC metro area.USA"",""Aspen, CO.USA"",Remote.USA",2024-02-23,1/1/2050,6. Early career policy,"""The Hub seeks a paid part-time intern (expected commitment: approximately 10 hours a week, with hourly pay of $20/hour; some weeks will have more work than others) to work closely with the Hub’s Events and Communications Assistant, Deputy Director, and broader Hub team to assist with communications, programming, and virtual events. The Communications intern will work closely with the small Hub team and will benefit from close mentorship from Hub leadership. The intern will also have the opportunity to attend Hub training sessions, giving [...]""",Undergraduate degree or less,Entry-level,Outreach,https://www.aspeninstitute.org/,https://www.aspeninstitute.org/careers/career-opportunities/,https://80000hours.org/wp-content/uploads/2021/01/Aspen-Institute.jpg,$20 per hour
"Program Assistant, Aspen Strategy Group",Aspen Institute,http://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=2945752&req_loc=&&#job,"""Washington, DC metro area.USA""",2024-02-20,1/1/2050,6. Early career policy,"""The Program Assistant is a critical position that will provide high-quality support for the ASG across all its efforts and convenings. Their portfolio will have a particular focus on the public pillar of our work – the Aspen Security Forum. Essential Duties and Responsibilities: Administrative and Communications Support: Strong writing skills to draft, proofread, and finalize complex email correspondence and formal documents for speakers, participants, and other stakeholders (ex. invitations, memos, e-newsletters, publication announcements, [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations",https://www.aspeninstitute.org/,https://www.aspeninstitute.org/careers/career-opportunities/,https://80000hours.org/wp-content/uploads/2021/01/Aspen-Institute.jpg,"$50,000 - $53,000"
Research Assistant,Aspen Institute,http://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=2945001&req_loc=&&#job,"""Washington, DC metro area.USA""",2024-02-28,1/1/2050,6. Early career policy,"""The Aspen Economic Strategy Group (AESG) is recruiting a Research Assistant to support its work promoting evidence-based economic policy. The Research Assistant will support AESG’s Director and Policy Director, both PhD Economists, producing original economic research and editing commissioned papers. Day-to-day work will involve statistical analysis, data visualization, summarizing research findings, and proofreading drafts of papers prior to publication. The Research Assistant will also work with our Program Associate to communicate with [...]""",Master's degree,Entry-level,"Research, Operations",https://www.aspeninstitute.org/,https://www.aspeninstitute.org/careers/career-opportunities/,https://80000hours.org/wp-content/uploads/2021/01/Aspen-Institute.jpg,"50,000 - 60,000"
Strategy and Operations Manager,Aspen Tech Policy Hub,http://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=2958148&req_loc=10711&&#job,"San Francisco Bay Area.USA,Remote.USA",2024-03-15,1/1/2050,6. Early career policy,"""In partnership with the Director and Hub leadership team, this person will work to advance the Hub’s strategic direction; ensure alignment between the Hub’s mission, finances, organizational goals, and programmatic operations; strengthen our collaborative and outcomes-oriented organizational culture; support the growth and professional development of our staff; and manage our development of internal processes around Equity, Diversity, and Inclusion work. This position will be responsible for overseeing staffing, administration, hiring, and [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Policy",http://aspentechpolicyhub.org/,https://www.aspeninstitute.org/careers/career-opportunities/,https://80000hours.org/wp-content/uploads/2019/01/Aspen-Tech-Policy-Hub.jpg,"$90,000 - $115,000"
Science Entrepreneur-in-Residence,Astera,https://jobs.lever.co/astera/e8a45be7-2840-4b5d-a4b0-6467e50c0c2e,San Francisco Bay Area.USA,2023-08-07,1/1/2050,,"""Astera’s new Science Entrepreneur-in-Residence (EIR) program will support innovators who urgently want to unlock new tools for scientific publishing. Selected Science EIRs will carry out the first phase of their work in residence at Astera. We will consider a proposed budget of up to $500,000 to cover compensation and resources for the EIR, including other potential teammates. Science EIRs with high-potential ideas and demonstrable excellence in execution during the first year will be eligible to pitch a spin-out organization or company. [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Operations",https://astera.org/,https://astera.org/careers/,https://80000hours.org/wp-content/uploads/2021/08/Astera.jpg,"$125,000 - $250,000"
Alignment Research Engineer,Atla,https://www.linkedin.com/jobs/view/3837411701/?alternateChannel=search&refId=DXpaG6zLFuVFt7N7GX%2FSfA%3D%3D&trackingId=aQcu4MgBfY2RI0RO8GT%2Fpg%3D%3D&trk=d_flagship3_search_srp_jobs,London.UK,2024-02-23,1/1/2050,1. AI safety & policy,"""As Atla’s alignment research engineer, you'll develop language models as evaluators as well as use your insights to construct safety guardrails for LLMs, pushing the state of the art further. As part of your role, you will: Steer LLMs to become strong evaluators aligned with human preferences by using prompting, supervised fine-tuning, and adversarial training to effectively scale human oversight; Develop comprehensive evaluation and red teaming frameworks, including custom internal tooling, datasets and metrics for rigorous assessment of [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",https://www.linkedin.com/company/atla-ai/,https://www.linkedin.com/company/atla-ai/jobs/,https://80000hours.org/wp-content/uploads/2024/01/atla_ai_logo.jpeg,Not Found
Founding Full Stack Engineer,Atla,https://www.linkedin.com/jobs/view/3774745594/?eBP=NON_CHARGEABLE_CHANNEL&refId=0VC0y8mO2zStwMswjLF6sQ%3D%3D&trackingId=utUGptHx7eSfWGUFWaiiRA%3D%3D&trk=flagship3_search_srp_jobs,London.UK,2024-01-04,1/1/2050,1. AI safety & policy,"""As Atla's founding engineer, you will build systems that automate the most complex knowledge work in the world and achieve levels of performance previously considered unattainable. As part of your role, you will: Build Atla's software product and features end-to-end. Work closely with founders, advisors, and top-tier researchers to navigate the complexities of AI alignment. Build and grow our engineering organization, setting a high bar of excellence that propels Atla forward. Tackle unsolved product and engineering challenges - the hardest [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Software engineering,https://www.linkedin.com/company/atla-ai/,https://www.linkedin.com/company/atla-ai/jobs/,https://80000hours.org/wp-content/uploads/2024/01/atla_ai_logo.jpeg,"£90,000 - £140,000"
Founding Research Engineer,Atla,https://www.linkedin.com/jobs/view/3819562999/?alternateChannel=search&refId=9IR3OzVHkOVug5Y8p9K6BQ%3D%3D&trackingId=xXFHLONGQx%2BsiG1sSzFmtQ%3D%3D&trk=d_flagship3_company,London.UK,2024-01-04,1/1/2050,1. AI safety & policy,"""As Atla’s founding research engineer, you will build systems that automate the most complex knowledge work in the world and achieve levels of performance previously considered unattainable. As part of your role, you will: Develop novel, accurate AI algorithms and advanced systems for large scale applications. Define use cases and develop methodology and benchmarks to evaluate different approaches. Work closely with founders, advisors, and top-tier. Researchers to navigate the complexities [...]""",Undergraduate degree or less,Mid (5-9 years experience),Research,https://www.linkedin.com/company/atla-ai/,https://www.linkedin.com/company/atla-ai/jobs/,https://80000hours.org/wp-content/uploads/2024/01/atla_ai_logo.jpeg,Not Found
Machine Learning Engineer,Atla,https://www.linkedin.com/jobs/view/3837413228/?alternateChannel=search&refId=DXpaG6zLFuVFt7N7GX%2FSfA%3D%3D&trackingId=7hsiIeVA06BoTebgTPyHxA%3D%3D&trk=d_flagship3_search_srp_jobs,London.UK,2024-02-27,1/1/2050,1. AI safety & policy,"""As Atla’s machine learning engineer, you’ll develop the framework allowing for rapid training and experimentation of large language models as well as constructing the internal platform to enable high throughput inference of such models. Develop the core inference engine used to serve large machine learning models to customers at scale and across distributed systems; Contribute significantly to the internal automated pipeline enabling high throughput training runs and rapid experimentation achieving top hardware efficiency optimisation; [...]""",Undergraduate degree or less,Junior (1-4 years experience),Software engineering,https://www.linkedin.com/company/atla-ai/,https://www.linkedin.com/company/atla-ai/jobs/,https://80000hours.org/wp-content/uploads/2024/01/atla_ai_logo.jpeg,Not Found
"Director, South Asia Center",Atlantic Council,https://www.atlanticcouncil.org/job-opportunity/director-south-asia-center/,"""Washington, DC metro area.USA""",2023-12-13,1/1/2050,6. Early career policy,"""The Director will lead the South Asia Center’s strategy, business development, and manage the Center’s staff and network of non-resident senior fellows. This individual will enhance the Center’s impact on the most important challenges and opportunities in the greater South Asia region, but with a key focus on India, Pakistan, Afghanistan, and Bangladesh and their international relations. In addition to managing the day-to-day operations of the Center, the Director will enhance the Council’s presence throughout the region with key stakeholders, [...]""",Master's degree,Senior (10+ years experience),"Policy, Management, Operations",https://www.atlanticcouncil.org/about/,https://www.atlanticcouncil.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/02/atlantic-council.png,"Starting: $150,000"
"Program Assistant, Forward Defense",Atlantic Council,https://www.atlanticcouncil.org/job-opportunity/program-assistant-forward-defense-2/,"""Washington, DC metro area.USA""",2024-02-08,1/1/2050,6. Early career policy,"""The Atlantic Council’s Forward Defense Program is thrilled to hire a Program Assistant within FD’s portfolio of work on nuclear strategy and space security. Within this portfolio, the Program Assistant will execute administrative, logistical, and research tasks to support FD’s publications, event planning and execution, and correspondence and scheduling. This is a unique opportunity to support high-level defense conversations and learn from leading experts on issues impacting US national security, particularly in the nuclear and space security [...]""",Undergraduate degree or less,Junior (1-4 years experience),Policy,https://www.atlanticcouncil.org/about/,https://www.atlanticcouncil.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/02/atlantic-council.png,"Starting: $50,000"
"Research Associate, WMD / CBRN Policy, Digital Forensic Research Lab",Atlantic Council,https://www.atlanticcouncil.org/job-opportunity/research-associate-wmd-cbrn/,.Global,2024-03-20,1/1/2050,6. Early career policy,"""The Research Associate will join a dynamic and collaborative global research team. They will work with the DFRLab’s internationally distributed staff and broader Atlantic Council expert community to achieve project goals. They will also help build and manage a network of international partners to coordinate research activities related to WMD/CBRN disinformation. They will conduct trainings and pursue policy engagements as appropriate. Job responsibilities: Conduct open-source investigative research into Ukrainian and Russian information [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Policy",https://www.atlanticcouncil.org/about/,https://www.atlanticcouncil.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/02/atlantic-council.png,"$55,000"
"Summer Intern, GeoEconomics Center (x3)",Atlantic Council,https://www.atlanticcouncil.org/job-opportunity/summer-intern-geoeconomics-center/,"""Washington, DC metro area.USA""",2024-03-21,1/1/2050,6. Early career policy,"""The Center will hire three interns, one dedicated to each of the Center’s pillars of work: the Future of Capitalism, the Future of Money, and the Economic Statecraft Initiative. While each intern will work primarily with one of these work streams, all interns will have the opportunity to work on a range of issues. Job Responsibilities: Support the organization and execution of periodic GeoEconomics Center events; Manage program contacts, program metrics, and social media; Help produce data visualizations to illustrate policies and impacts; [...]""",Undergraduate degree or less,Entry-level,Policy,https://www.atlanticcouncil.org/about/,https://www.atlanticcouncil.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/02/atlantic-council.png,$17.50 per hour
"Women Leaders in Energy and Climate Fellowship, Global Energy Center",Atlantic Council,https://www.atlanticcouncil.org/job-opportunity/women-leaders-in-energy-and-climate-fellowship-global-energy-center/,"""Washington, DC metro area.USA""",2024-04-03,30/4/2024,Z. Climate change,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Policy,https://www.atlanticcouncil.org/about/,https://www.atlanticcouncil.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/02/atlantic-council.png,Not Found
Consultant Engineer / Scientist,Awerian,https://apply.workable.com/ttp/j/31378CD45B/apply/,Cambridge.UK,2024-04-02,1/1/2050,D. Career development: Technical,,Master's degree,Entry-level,"Engineering, Research",https://awerian.net/,https://awerian.net/careers/,https://80000hours.org/wp-content/uploads/2024/01/awerian_logo.jpeg,Not Found
Partner,Azolla Ventures,https://drive.google.com/file/d/1NXpzT_f7eTcGFZEBHXRigyk2JHh8t_wT/view,"San Francisco Bay Area.USA,Boston metro area.USA",2024-02-23,1/1/2050,Z. Climate change,"""Azolla Management Company seeks a Partner for our early-stage, impact-driven venture capital fund. We are seeking the right mission-aligned individual and will make room for that candidate commensurate with their capabilities and experience: an exceptionally strong candidate might be considered for a General Partner role with responsibilities to manage the firm, while a candidate relatively new to venture investing might be considered for a Venture Partner role focusing on specific portfolio companies. The Partner will be part of the senior [...]""",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)",Other,https://azollaventures.com/,,https://80000hours.org/wp-content/uploads/2024/02/azolla_ventures_logo.jpeg,Not Found
Biosafety Compliance Analyst,BAI,https://jobs.lever.co/bai-inc/ac118383-89b9-48a5-b347-47bfca07af41,"""Washington, DC metro area.USA""",2024-01-16,1/1/2050,2. Biosecurity & pandemic preparedness,"""BAI is seeking a Biosafety Compliance Analyst to support a U.S. government agency’s cutting-edge science and technology research and development program. Our Analysts assist Federal Program Managers and researchers in complying with applicable biosafety and biosecurity regulatory and policy frameworks, and support our client in representing the agency’s interests in interagency and international technology policy discussions [...]""",Master's degree,Mid (5-9 years experience),Policy,https://www.bai-inc.net/,https://jobs.lever.co/bai-inc,https://80000hours.org/wp-content/uploads/2023/11/bai_inc_logo.jpeg,Not Found
Treaty and Regulatory Compliance Analyst,BAI,https://jobs.lever.co/bai-inc/dec35c86-32d0-4807-bcee-bfca33a88f8b,"""Washington, DC metro area.USA""",2024-01-16,1/1/2050,2. Biosecurity & pandemic preparedness,"""BAI is seeking a Treaty and Regulatory Compliance Analyst to support a U.S. government agency’s cutting-edge science and technology research and development program. This position is currently teleworking. Our Analysts assist Federal Program Managers and researchers in complying with applicable treaty, regulatory and policy frameworks, and support our client in representing the agency’s interests in interagency and international technology policy discussions [...]""",Master's degree,Mid (5-9 years experience),Policy,https://www.bai-inc.net/,https://jobs.lever.co/bai-inc,https://80000hours.org/wp-content/uploads/2023/11/bai_inc_logo.jpeg,Not Found
"Associate, Biotech Accelerator Investment",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Biotech-Accelerator-Investment-Associate_B020170-1,Seattle metro area.USA,2024-03-14,11/4/2024,A. Global health & development,"""This investment professional will support the Global Health division’s Biotech Accelerator, which aims to conceive, design, and test novel biotech platforms that enable the foundation’s mission. The Accelerator deploys a high volume of early-stage equity investments (up to $5mm in size) to prove technology concepts and transition promising technology to private sector companies focused on execution. What You’ll Do: Work closely with the Accelerator to understand its strategies and partner with technical colleagues to form investment theses [...]""",Undergraduate degree or less,Junior (1-4 years experience),Other,https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$166,300 - $271,800"
"Program Officer, Advocacy, Family Planning, Maternal, Newborn, Child Health, Primary Health Care",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Program-Officer--Advocacy--MNCH--FP--PHC---PAC_B020158-1,"Seattle metro area.USA,""Washington, DC metro area.USA""",2024-03-13,1/1/2050,A. Global health & development,"""We are seeking a Program Officer, MNCH, FP, PHC Advocacy to join the Program Advocacy and Communications (PAC) team to lead the work on advocacy for policy and financing goals essential to achieving impact for family planning (FP), maternal, newborn, child health (MNCH) and a strong, equitable functioning service delivery platform for Primary Health Care (PHC). You will work closely with team members towards the development and execution of an evidence-based advocacy strategy using a women’s health framework to advance results for FP, MNCH [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Outreach, Policy",https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$137,500 - $224,600"
"Program Officer, Vaccines and Biologics",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Program-Officer--Vaccines---Biologics--Discovery---Translational-Sciences_B019304-1,Seattle metro area.USA,2023-07-24,1/1/2050,A. Global health & development,"""As a Program Officer (PO) in the Vaccines and Biologics Domain within Discovery &Translational Sciences, you will work closely with the Senior Program Officers to develop and execute on strategies for the discovery and development of innovative biologics and enabling technologies to meet critical global health needs in alignment with the Program Strategy Teams. Your main responsibilities will be to: Manage a complex portfolio of investments focused on diverse global health needs to make biologics affordable in low- and middle-income countries. [...]""",Doctoral degree,Mid (5-9 years experience),Operations,https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$114,600 - $213,200"
"Program Officer, Vaccinology, Discovery and Translational Sciences",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Program-Officer--Vaccinology--Discovery---Translational-Sciences_B019503-1,Seattle metro area.USA,2023-09-09,1/1/2050,A. Global health & development,"""We are seeking a Program Officer (PO) to join the Vaccines & Biologics (Vx&Bx) domain within Discovery and Translational Sciences (D&TS). You will work closely with the Senior Program Officers in the team and contribute to and execute on strategies for the discovery and development of vaccine technologies and vaccine candidates to meet critical global health needs. Your main responsibilities will be to: What You’ll Do Manage a complex portfolio of investments focused on a diverse set of global health needs and a range of vaccine-based [...]""",Doctoral degree,Mid (5-9 years experience),Operations,https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$114,600 - $213,200"
"Research Scientist, Institute for Disease Modeling",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Research-Scientist--Institute-for-Disease-Modeling--12-Month-LTE-_B020166-1,Seattle metro area.USA,2024-03-15,1/1/2050,A. Global health & development,"""We seek a Research Scientist to join the Gender, Vulnerability and Health Equity (GVHE) team within IDM broadly focusing on women’s health and sexual and reproductive health. The candidate will collaborate on research projects which focus on the mechanisms (cultural, social, economic, structural, policy) that lead to health inequalities in LMICs. What You’ll Do: Develop, advance, and collaborate with other researchers on modeling and data analysis projects; Work closely with the GVHE team to build statistical models, conduct sensitivity [...]""",Doctoral degree,Multiple experience levels,"Research, Data",https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$166,300 - $271,800"
"Senior Program Officer, Disease Surveillance, East and Southern Africa",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Johannesburg-South-Africa/Senior-Program-Officer--Surveillance--East-and-Southern-Africa_B020190,Johannesburg.South Africa,2024-03-20,8/4/2024,"A. Global health & development,2. Biosecurity & pandemic preparedness","""As the Senior Program Officer Surveillance, Africa you will lead on work related to advancing a stronger, more integrated disease surveillance ecosystem in key geographies across the continent. You will work from Nairobi or Johannesburg with constant collaboration with the Pneumonia and Pandemic Preparedness team as well as other surveillance colleagues across the Foundation. What You'll Do: Develop, negotiate, implement, and manage grants that strengthen integrated disease surveillance in key countries on the continent in close collaboration [...]""",Doctoral degree,Mid (5-9 years experience),"Outreach, Operations",https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,Not Found
"Senior Program Officer, Disease Surveillance, West Africa",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Abuja-Nigeria/Senior-Program-Officer--Surveillance--West-Africa_B020191,Abuja.Nigeria,2024-03-20,8/4/2024,"A. Global health & development,2. Biosecurity & pandemic preparedness","""As the Senior Program Officer Surveillance Nigeria and Senegal, you will lead work related to advancing a stronger, more integrated disease surveillance ecosystem in Nigeria and Senegal as well as support foundation-wide efforts to demonstrate the value and feasibility of integrated disease surveillance across the continent. You will work from Nigeria with constant collaboration with Africa Team colleagues and Program Strategy Teams (PSTs) across the foundation. What You'll Do: Develop, negotiate, implement, and manage grants that strengthen [...]""",Doctoral degree,Mid (5-9 years experience),"Outreach, Operations",https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,Not Found
"Senior Program Officer, Neglected Tropical Diseases, Product Development",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Program-Officer--Neglected-Tropical-Diseases--Product-Development_B019759-1,Seattle metro area.USA,2023-10-31,1/1/2050,A. Global health & development,"""As a key member of the Neglected Tropical Diseases team, the Senior Program Officer (SPO), Product Development, is accountable for designing, executing and managing a portfolio of grants and contracts to develop drugs, vaccines and diagnostics to accelerate elimination of eight priority NTDs. This will include new macrofilaricides to treat onchocerciasis, diagnostics to address schistosomiasis and lymphatic filariasis and a schistosomiasis vaccine. You will liaise with functional team experts from across the foundation to optimize these [...]""",Master's degree,Senior (10+ years experience),Operations,https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$149,800 - $278,700"
