Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
"Research Analysts, Policy Analysis Unit (x2)",AidData,https://www.aiddata.org/join-the-team/research-analyst-policy-analysis-unit,"""Williamsburg, VA.USA"",Remote.Global",2024-02-27,1/1/2050,A. Global health & development,"""The Global Research Institute at William & Mary is currently seeking TWO part-time Research Analysts to support the Policy and Analysis Unit within AidData. They will be responsible for conducting quantitative and qualitative analysis on a variety of projects as well as supporting the writing of reports. This position will work closely with the Deputy Director of Research and/or a Senior Research Analyst on three types of projects: To study the scope and impact of United States and Chinese development finance on lower and middle-income [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Policy",https://www.aiddata.org/,https://www.aiddata.org/join-the-team,https://80000hours.org/wp-content/uploads/2023/11/AidData.jpeg,$25 - $32 per hour
Intern,ALLAI,https://allai.nl/apply-for-an-internship-at-allai-2/,.Netherlands,2023-11-20,1/1/2050,1. AI safety & policy,"""We are looking for interns to help advance Responsible AI – AI that is lawful, ethical and socio-technically robust. We work on different projects in multiple domains, such as (inter)national AI policy and regulation, research and innovation on responsible AI and awareness building and education. What we offer: We offer an interdisciplinary, international environment where you get to work with the top experts in the field of AI, data science, ethics and regulation. You will engage with academics, policy makers, companies, the public sector [...]""",Master's degree,Entry-level,Research,https://allai.nl/,,https://80000hours.org/wp-content/uploads/2023/11/allai_logo.jpeg,Not Found
"Volunteer, General Application",Alliance to Feed the Earth in Disasters,https://allfed.info/join-us?view=article&id=309&catid=39,Remote.Global,2022-11-28,1/1/2050,3. Nuclear security,"""Volunteer in any of ALLFED’s main focus areas: Research: Play an active role in hands-on research involving collaborative meetings, rigorous methods, creative thinking, and a focus on publishing peer-reviewed articles. Organizational development: Dive into maintaining and improving ALLFED’s many systems. Communications: Work across a wide range of projects, including [...]""",Undergraduate degree or less,Multiple experience levels,Research,https://allfed.info/,https://allfed.info/join-us,https://80000hours.org/wp-content/uploads/2022/01/allfed.jpeg,Unpaid
Director of Outreach,Ambitious Impact (Charity Entrepreurship),https://www.charityentrepreneurship.com/outreach-director,"London.UK,Remote.UK",2024-01-08,1/1/2050,5. Building effective altruism,"""We seek a Director of Outreach to manage and run a team that creates and maintains talent pipelines online and in person. Right now, most of our qualified and impactful candidates come from the Effective Altruism (EA) community – therefore, this will be one key focus area for the Director of Outreach (e.g. talks at different EA conferences around the world, connecting with EA university groups, and helping audiences determine whether nonprofit entrepreneurship is a good fit for them). In saying this, the Director of Outreach will also be [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Outreach, Management",https://www.ambitiousimpact.com/,http://www.charityentrepreneurship.com/jobs.html,https://80000hours.org/wp-content/uploads/2024/02/ambitious_impact_logo-150x150.jpeg,"£34,000 - £47,000"
Founding To Give Program,Ambitious Impact (Charity Entrepreurship),https://www.aimfoundingtogive.com/,Remote.Global,2024-03-15,14/4/2024,5. Building effective altruism,"""This program assists participants in launching a high-growth company dedicated to donating to high-impact charities. It provides potential co-founders from a pre-vetted pool to complement your skills; a one-month intensive full-time cost-covered program to build your skills, knowledge, and confidence; two months of provided funding to work with your co-founder and experts to iterate on your pitch and raise seed capital; a community of mentors, entrepreneurs, and others.""",Undergraduate degree or less,Multiple experience levels,"Operations, Management, Research",https://www.ambitiousimpact.com/,http://www.charityentrepreneurship.com/jobs.html,https://80000hours.org/wp-content/uploads/2024/02/ambitious_impact_logo-150x150.jpeg,Not Found
Incubation Program,Ambitious Impact (Charity Entrepreurship),https://www.charityentrepreneurship.com/incubation-program,London.UK,2024-02-16,14/4/2024,5. Building effective altruism,"""Get ready to start a charity through our two-month full-time, cost-covered training program. In 42 applied partner projects, video lectures, and discussion groups, the Incubation Program teaches you everything you need to know to launch a field-leading charity. You’ll learn while creating the building blocks for your own charity, from a review of the evidence base to its 1-year plan and budget.""",Undergraduate degree or less,Multiple experience levels,"Research, Operations, Outreach, Management",https://www.ambitiousimpact.com/,http://www.charityentrepreneurship.com/jobs.html,https://80000hours.org/wp-content/uploads/2024/02/ambitious_impact_logo-150x150.jpeg,Not Found
Research Program,Ambitious Impact (Charity Entrepreurship),https://www.charityentrepreneurship.com/research-training-program,Remote.Global,2024-02-16,14/4/2024,5. Building effective altruism,"""This online program is designed to equip participants with the tools and skills needed to identify, compare, and recommend the most effective charities and interventions. It is a full-time, fully cost-covered program that will run online for 12 weeks.""",Undergraduate degree or less,Multiple experience levels,Research,https://www.ambitiousimpact.com/,http://www.charityentrepreneurship.com/jobs.html,https://80000hours.org/wp-content/uploads/2024/02/ambitious_impact_logo-150x150.jpeg,Not Found
"Research Assistant, Economic Policy Studies",American Enterprise Institute,https://careers-aei.icims.com/jobs/2120/research-assistant%2c-economic-policy-studies/job,"""Washington, DC metro area.USA""",2023-09-19,1/1/2050,6. Early career policy,"""Responsibilities include supporting research through managing, retrieving, and analyzing data; editing and contributing to scholarly papers, articles, op-eds, and books; creating and formatting charts, graphic displays, and tables; and writing literature reviews and background reports using national and international publications. Responsibilities: Support research through data manipulation, retrieval, analysis, entry, and extraction. Edit and contribute to scholarly papers, articles for a general audience, op-eds, and books. Create and [...]""",Undergraduate degree or less,Entry-level,"Research, Policy",https://www.aei.org/about/,https://careers-aei.icims.com/jobs/search?hashed=-435590589&mobile=false&width=1244&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-360,https://80000hours.org/wp-content/uploads/2019/08/American-enterprise-institute.jpg,Not Found
"Research Assistant, Foreign and Defense Policy, Asia Economics and Security",American Enterprise Institute,https://careers-aei.icims.com/jobs/2232/research-assistant%3a-foreign-and-defense-policy%2c-asia-economics-and-security/job,"""Washington, DC metro area.USA""",2024-03-06,1/1/2050,6. Early career policy,"""The position’s major responsibilities include conducting research and providing support on issues related to Chinese corporations and Chinese foreign policy. Other major topics are Chinese domestic politics, Indo-Pacific security and economic relations, and US strategy in the Indo-Pacific. Administrative duties include scheduling and organizing events. Other duties include overseeing long-term projects and supervising department interns. Responsibilities: Research, edit, and assist in publishing policy reports about economics, international [...]""",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)","Research, Policy",https://www.aei.org/about/,https://careers-aei.icims.com/jobs/search?hashed=-435590589&mobile=false&width=1244&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-360,https://80000hours.org/wp-content/uploads/2019/08/American-enterprise-institute.jpg,Not Found
AI Policy Analyst,Americans for Responsible Innovation,https://www.linkedin.com/jobs/view/3854803575,"""Washington, DC metro area.USA""",2024-03-14,1/1/2050,1. AI safety & policy,"""Responsibilities: Stay on top of (a) AI progress, (b) the relevant academic literature, and (c) AI policy conversations happening in and around DC; Help the ARI team develop, refine, and communicate ARI’s policy goals; Prepare detailed analysis and recommendations of potential AI policy priorities for ARI to champion; Draft summaries of proposed legislation, executive branch actions, and policy briefs; Conduct research and draft memoranda to help prepare ARI staff for meetings with Members of Congress and congressional staff; Conduct in-depth [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Policy, Research",https://responsibleinnovation.org/,,https://80000hours.org/wp-content/uploads/2024/03/Americans-for-responsible-innovation.jpeg,"$85,000 - $95,000"
Project Lead,Animal Empathy Philippines,https://docs.google.com/document/d/1t9QU7-qHTCUqoMa9uHh2s4L9zoDo7sD6GnKNqOTNh4Y/edit,Remote.Global,2024-01-18,1/1/2050,B. Animal welfare,"""Opportunity Highlights: Collaborate with impact-driven advocates; Shape the future of farmed animal advocacy in the Philippines; Contribute to toolkit and module development; Engage with AEP's target audience; Pioneer a farmed animal advocacy program.""",Undergraduate degree or less,Junior (1-4 years experience),Operations,https://www.animalempathy.ph/,https://www.animalempathy.ph/aep-work-with-us,https://80000hours.org/wp-content/uploads/2023/11/animal_empathy_philippines_logo.png,Not Found
Campaigns Specialist,Animal Equality,https://animal-equality-germany-ev.jobs.personio.de/job/1225912?language=de%3Flanguage%3D&display=de,.Germany,2023-08-24,1/1/2050,B. Animal welfare,"""In the field of campaigning you are responsible for the development and implementation of strategies, actions and high-profile campaigns. You develop effective campaign strategies and implement creative campaign ideas. You analyze and react to developments in agricultural policy and take on the task of establishing and maintaining contact with politicians. You mobilize and grow our Animal Defender network as part of campaign work. You will support our colleagues in the Corporate Campaigns department, research in-depth information on [...]"" ",Undergraduate degree or less,Junior (1-4 years experience),"Outreach, Policy",https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,Not Found
Communications and Digital Marketing Officer,Animal Equality,https://animalequality.org.uk/app/uploads/2024/02/Communications-and-Digital-marketing-Officer.pdf,Remote.UK,2024-02-26,1/1/2050,B. Animal welfare,"""A critical member of the UK team, the Communications and Digital Marketing Officer leads on the delivery of a cohesive digital marketing strategy, while ensuring that all organisational content aligns with Animal Equality’s organisational brand and values. Responsible for growing the organisation’s online audience, the Officer engages new and existing donor, prospect and fan bases, using effective and innovative digital marketing strategies. Responsible for handling video production, website content creation, organic reach and SEO, as well [...]""",Undergraduate degree or less,Junior (1-4 years experience),Outreach,https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,"£25,000 - £26,500"
Corporate Outreach Specialist,Animal Equality,https://animalequality.it/lavora-con-noi/corporate-outreach-specialist/,"Milan.Italy,Remote.Italy",2024-02-05,1/1/2050,B. Animal welfare,"""Main responsibilities and tasks: Carry out in-depth research on food companies in each sector, evaluate their current animal welfare policies, identify the realities with the greatest potential impact on as many animals as possible; Stay abreast of the latest industry trends and initiatives, keeping up-to-date on mergers and acquisitions, companies' expansion into other locations and the diversification of their businesses, as well as any other information needed to determine the best outreach strategies; Study the priorities in companies' [...]""",Undergraduate degree or less,Junior (1-4 years experience),Outreach,https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,Not Found
"Intern, Legal Advocacy",Animal Equality,https://animal-equality.rippling-ats.com/job/767412/legal-advocacy-internship-clerkship,Remote.Global,2024-03-05,1/1/2050,B. Animal welfare,"""In this internship, you will assist our Legal Advocacy Counsel with legal and factual research while also getting experience writing for different types of audiences (e.g., drafting legal memoranda & briefs, letters to lawmakers, public testimony, administrative comments, online action alerts, and more). You will join strategy meetings with other Animal Equality staff as well as members of other organizations whom we work closely with, enabling you to hone your legal strategy skills and build professional connections within the farmed animal [...]""",Undergraduate degree or less,Entry-level,Legal,https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,$17 per hour
Latino Program Campaigns Manager,Animal Equality,https://animal-equality.rippling-ats.com/job/772933/latino-program-campaigns-manager,Miami metro area.USA,2024-03-15,1/1/2050,B. Animal welfare,"""The Latino Program Manager oversees Animal Equality’s Spanish-speaking programs in the U.S.. This position is responsible for creating excellent online and offline campaigns to inspire the Latino community in the United States to support Animal Equality’s mission and reduce the consumption of animal products, replacing them with plant-based foods. General Responsibilities: Develop strategic campaigns to engage the Latino community in the United States that promote farmed animal protection and plant-based eating; Represent Animal Equality [...]""",Undergraduate degree or less,Junior (1-4 years experience),Outreach,https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,"$60,000 ‒ $65,000"
Undercover Investigator,Animal Equality,https://animal-equality.rippling-ats.com/job/600852/undercover-investigator,Remote.USA,2022-05-11,1/1/2050,B. Animal welfare,"""Reports to: Director of Investigations. Position Objective: Carry out investigations that support Animal Equality’s strategic plan of advancing farmed animal welfare globally, documenting the conditions of animals raised for food, and providing the organisation with compelling evidence for use in legal advocacy, public education, and corporate campaigns.""",Undergraduate degree or less,Entry-level,"Other, Research",https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,Not Found
Legal Caseworker,Animal Law Foundation,https://animallawfoundation.org/careers/legal-caseworker,Remote.Global,2024-04-03,1/1/2050,B. Animal welfare,,Undergraduate degree or less,Junior (1-4 years experience),Legal,https://animallawfoundation.org/,https://animallawfoundation.org/careers,https://80000hours.org/wp-content/uploads/2023/09/animal_law_foundation_logo.jpeg,"£26,000 - £30,000"
"Coordinator, Pro Bono Program",Animal Legal Defense Fund,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2257545,Remote.USA,2024-03-05,1/1/2050,B. Animal welfare,"""The Pro Bono Coordinator supports the Pro Bono Program to advance the emerging field and practice of animal law. This includes working with key initiatives, projects, and programs that support legal professionals interested in pursuing animal law volunteer and educational opportunities and promote ALDF as the leading animal law resource provider. How You Will Make a Difference: Pro Bono Database and Project Support/Tracking/Coordination (60%): Collaborate with ALDF programs to determine the appropriate level of response to requests for legal [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Outreach",https://aldf.org/,https://recruiting.paylocity.com/recruiting/jobs/All/3959b1be-c1ea-4572-bd27-94c094a3fc28/Animal-Legal-Defense-Fund,https://80000hours.org/wp-content/uploads/2023/09/animal_legal_defense_fund_aldf_logo.png,"Starting: $67,241 - $74,319"
"Staff Attorney, Litigation Program",Animal Legal Defense Fund,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2319940,Remote.USA,2024-03-25,22/4/2024,B. Animal welfare,"""- In this role, you will file strategic high-impact lawsuits to protect animals and expand legal protections for animals under the law.
- Act as lead counsel, managing all research, filings, and aspects of litigation for assigned cases and projects.
- Research and develop novel legal theories and strategies for new cases.
- Manage Law Clerks and Litigation Fellows, as well as the drafting and submission of amicus curiae briefs.
- Work with various departments to provide expertise on civil legal issues and coordinate with other programs as needed.""",Doctoral degree,Junior (1-4 years experience),Legal,https://aldf.org/,https://recruiting.paylocity.com/recruiting/jobs/All/3959b1be-c1ea-4572-bd27-94c094a3fc28/Animal-Legal-Defense-Fund,https://80000hours.org/wp-content/uploads/2023/09/animal_legal_defense_fund_aldf_logo.png,"Starting: $89,424 - $98,837"
Communications Intern,Animal Outlook,https://animaloutlook.org/intern/,Remote.Global,2022-02-25,1/1/2050,B. Animal welfare,"""Animal Outlook, a national nonprofit animal advocacy organization, seeks a communications intern to assist with social media, blog posts and email newsletters as well as creating associated collateral for each. You’ll work closely with the Director of Communications to create effective, engaging content. Responsibilities: Maintain a consistent voice across all Animal Outlook content in line with Animal Outlooks’ brand and style guide. Brainstorm and execute ideas for engaging blog posts, social media posts and other content. Create original Animal Outlook blog content covering general vegan or animal rights news, investigations, campaign launches and victories, legal work, and outreach announcements or recaps. Ensure optimal SEO and readability. Other duties as necessary.""",Undergraduate degree or less,Entry-level,Operations,https://animaloutlook.org/,https://cok.net/jobs/,https://80000hours.org/wp-content/uploads/2022/02/animal-outlook.jpeg,Unpaid
"Internship, Outreach",Animal Outlook,https://animaloutlook.org/intern/,Remote.USA,2024-01-15,1/1/2050,B. Animal welfare,"""Animal Outlook seeks an Outreach Intern to assist with outreach projects including VegWeek, which takes place every year in April. You’ll work closely with the Director of Outreach and Engagement to work on exciting initiatives aimed to empower everyone to stand up for animals by choosing vegan. Key Responsibilities: To assist the Director of Outreach and Engagement with tasks as required, related to the upcoming VegWeek 2024 which takes place in April; Contacting companies, influencers and other stakeholders to gain secure widespread support [...]""",Undergraduate degree or less,Entry-level,Outreach,https://animaloutlook.org/,https://cok.net/jobs/,https://80000hours.org/wp-content/uploads/2022/02/animal-outlook.jpeg,Unpaid
"Internships, Legal Advocacy (Summer 2024)",Animal Outlook,https://animaloutlook.org/intern/,Remote.USA,2023-11-02,1/1/2050,B. Animal welfare,"""Legal Advocacy Interns will work on litigation, research, and other legal projects aimed at protecting farmed animals. Each Intern will likely work with a variety of legal claims, such as claims based on state criminal anti-cruelty laws, administrative law, false advertising and unfair competition laws, tort liability, and corporate law. Interns will have opportunities to research new projects and to assist with ongoing projects in close collaboration with Animal Outlook’s attorneys. Excellent research and writing skills are required, as [...]""",Undergraduate degree or less,Entry-level,Legal,https://animaloutlook.org/,https://cok.net/jobs/,https://80000hours.org/wp-content/uploads/2022/02/animal-outlook.jpeg,Unpaid
Senior Fundraising Manager,Animal Welfare Observatory,https://observatoriodebienestaranimal.jobs.personio.com/job/1435251?language=en&display=es,Remote.Global,2024-02-22,1/1/2050,B. Animal welfare,"""As a senior fundraising manager, your technical knowledge and strategic thinking have led you to be a person with great analytical skills and attention to detail. Your purpose will be to manage the long-term fundraising strategy, building an area with a special focus on the diversification of funds to reduce dependence on philanthropic entities, with a stable financial situation. Managing the fundraising area and supervised by the executive director, you will lead initiatives that allow compliance with the organization's strategic plan [...]""",Undergraduate degree or less,Mid (5-9 years experience),Outreach,https://observatoriodebienestaranimal.org/,https://observatoriodebienestaranimal.org/colabora/trabajar-en-una-ong/,https://80000hours.org/wp-content/uploads/2023/11/animal_welfare_observatory_logo.jpeg,"€41,000"
Correspondence Analyst,Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=b178ec64-9dad-3cfa-dd2c-640766a5ce03,"""Washington, DC metro area.USA""",2024-02-13,1/1/2050,6. Early career policy,"""ANSER is actively hiring for a Correspondence Analyst to work full-time/onsite at the Mark Center in Alexandria, VA in support of the Office of the Deputy Assistant Secretary of Defense for Chemical and Biological Defense (ODASD(CBD)). The person in this role will provide input, conduct technical reviews, and edit all written communications for the ODASD(CBD). Additionally, this position supports overall staff action, workflow, and office management. Responsibilities: Review and assist with the development of all written communications within [...]""",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Outreach, Policy",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
"Correspondence and Operations Analyst, Organizational and Management Policy Directorate",Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=dfac061d-2253-e403-44b3-5f58f4e8e04f,"""Washington, DC metro area.USA""",2023-09-21,1/1/2050,6. Early career policy,"""Successful candidates will accurately distribute incoming and outgoing unclassified and classified documents, provide subject matter expertise, and carry out day-to-day activities to support the OSD mission and its most senior leaders, the Secretary and Deputy Secretary of Defense, and the Military. Specific duties will include: Assign and manage correspondence workflow by serving as the O&MPD liaison with the DA&M front office, other DA&M Directorates, and OSD components. Review and assign correspondence documents to the appropriate OSD [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Policy",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
"Enterprise Architect, Department of Defense Architecture Framework",Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=eb4d799f-7cd2-4903-7900-875f000766f8,"""Washington, DC metro area.USA""",2024-03-07,1/1/2050,"3. Nuclear security,2. Biosecurity & pandemic preparedness","""ANSER is seeking a DoDAF Enterprise Architect to support the Joint Requirements Office for CBRN Defense (JRO-CBRN(D)) to work full-time / onsite at the Pentagon. The person in this role will develop architecture and database products supporting capability development to counter Chemical, Biological, Radiological, and Nuclear (CBRN) threats. Additionally, they will provide technical expertise in creating, updating, and maintaining architecture data in accordance with Department of Defense Architecture Framework (DoDAF) and Joint Capabilities [...]""",Undergraduate degree or less,Mid (5-9 years experience),Other,http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
